num_of_files,total_lines,mod_lines,label,insertions,deletions
1,3804,4,non-bug,1,3
2,15259,4,non-bug,2,2
8,299,126,non-bug,4,0
8,575,486,non-bug,388,98
2,0,347,None,224,123
1,0,8,None,8,0
1,0,35,None,35,0
2,15260,40,None,18,22
1,4560,26,None,23,3
2,339,4,None,2,2
2,15262,135,non-bug,44,91
38,0,6023,None,6023,0
1,130,2,non-bug,1,1
7,140,816,non-bug,263,0
1,640,4,non-bug,2,2
2,114,31,non-bug,2,0
1,0,138,None,69,69
1,0,14,None,0,0
1,252,18,None,18,0
2,132,133,None,71,54
4,95,100,None,98,2
1,640,4,non-bug,2,2
2,731,157,non-bug,24,11
15,113,1104,non-bug,579,7
2,0,8,None,0,0
3,137,229,None,139,1
6,0,297,None,0,0
7,167,881,non-bug,2,0
1,275,275,None,275,0
1,0,36,None,36,0
4,144,24,non-bug,13,4
3,1079,322,None,0,0
2,640,1429,non-bug,640,0
7,15289,1259,bug,744,0
2,0,34,non-bug,34,0
1,0,15,None,6,9
1,0,2,non-bug,1,1
4,277,425,None,266,7
10,132,100,None,35,0
2,0,121,non-bug,121,0
5,395,294,non-bug,2,2
1,15161,2,None,1,1
1,3803,15,None,15,0
2,15161,72,None,66,6
1,605,14,None,11,3
6,592,47,None,16,0
5,3788,29,None,20,9
4,108,58,None,3,0
6,3785,58,None,25,28
4,232,1280,non-bug,311,303
3,3788,154,non-bug,84,10
1,0,24,None,24,0
3,298,40,non-bug,3,3
1,0,6,non-bug,3,3
1,0,2,None,0,0
9,1280,519,non-bug,279,240
1,0,2,non-bug,1,1
3,3714,43,non-bug,25,4
1,0,2,None,1,1
2,181,24,non-bug,1,1
5,3693,68,None,68,0
1,15110,18,non-bug,9,9
2,339,7,None,0,7
1,76,2,None,1,1
1,0,6,non-bug,3,3
1,2317,3,non-bug,2,1
11,576,35,None,35,0
1,0,6,None,6,0
8,298,112,non-bug,4,4
1,0,3,non-bug,2,1
1,0,339,None,330,9
6,477,12,None,12,0
1,3689,2,None,1,1
1,0,47,None,47,0
2,15110,22,non-bug,12,10
7,88,418,None,159,76
15,91,463,None,203,38
3,330,268,None,77,24
24,70,981,non-bug,78,86
208,373,9221,None,76,76
2,202,26,None,0,0
11,383,453,non-bug,38,40
5,86,161,None,141,2
5,131,42,non-bug,18,6
6,1271,556,non-bug,84,5
3,520,479,non-bug,77,39
3,597,169,non-bug,22,11
2,1328,172,non-bug,77,6
2,15109,38,None,38,0
2,15090,200,non-bug,128,72
8,570,87,None,54,33
10,582,629,non-bug,21,27
4,338,1326,non-bug,344,327
3,321,1219,non-bug,309,270
9,312,1688,None,368,569
27,87,2688,None,2687,1
5,332,1697,bug,1035,5
3,239,720,None,331,0
5,3683,583,None,529,54
1,0,8,None,0,0
1,17064,150,None,133,17
1,0,31,None,31,0
