num_of_files,total_lines,mod_lines,label,insertions,deletions
1,3804,4,non-bug,1,3
2,15259,4,non-bug,2,2
8,299,126,non-bug,4,0
8,575,486,non-bug,388,98
2,15262,135,non-bug,44,91
1,130,2,non-bug,1,1
7,140,816,non-bug,263,0
1,640,4,non-bug,2,2
2,114,31,non-bug,2,0
1,640,4,non-bug,2,2
2,731,157,non-bug,24,11
15,113,1104,non-bug,579,7
7,167,881,non-bug,2,0
4,144,24,non-bug,13,4
2,640,1429,non-bug,640,0
7,15289,1259,bug,744,0
2,0,34,non-bug,34,0
1,0,2,non-bug,1,1
2,0,121,non-bug,121,0
5,395,294,non-bug,2,2
4,232,1280,non-bug,311,303
3,3788,154,non-bug,84,10
3,298,40,non-bug,3,3
1,0,6,non-bug,3,3
9,1280,519,non-bug,279,240
1,0,2,non-bug,1,1
3,3714,43,non-bug,25,4
2,181,24,non-bug,1,1
1,15110,18,non-bug,9,9
1,0,6,non-bug,3,3
1,2317,3,non-bug,2,1
8,298,112,non-bug,4,4
1,0,3,non-bug,2,1
2,15110,22,non-bug,12,10
24,70,981,non-bug,78,86
11,383,453,non-bug,38,40
5,131,42,non-bug,18,6
6,1271,556,non-bug,84,5
3,520,479,non-bug,77,39
3,597,169,non-bug,22,11
2,1328,172,non-bug,77,6
2,15090,200,non-bug,128,72
10,582,629,non-bug,21,27
4,338,1326,non-bug,344,327
3,321,1219,non-bug,309,270
5,332,1697,bug,1035,5
5,85,10,non-bug,4,6
3,718,51,bug,15,14
4,717,423,bug,174,7
2,40,171,non-bug,142,29
1,312,8,non-bug,4,4
3,349,126,non-bug,4,4
2,14141,36,non-bug,22,14
1,14113,4,non-bug,3,1
2,14111,8,non-bug,4,4
4,387,1484,non-bug,512,308
1,14111,40,non-bug,33,7
1,14084,16,non-bug,8,8
1,14084,41,non-bug,22,19
5,698,203,non-bug,12,9
93,262,2956,non-bug,134,169
46,588,2891,non-bug,61,139
3,587,116,non-bug,112,4
2,13931,4,non-bug,2,2
5,3315,148,non-bug,137,11
30,471,937,non-bug,277,124
5,429,137,non-bug,11,5
6,3290,401,non-bug,42,0
1,22,4,non-bug,2,2
2,210,76,non-bug,2,2
1,52,2,non-bug,1,1
4,60,384,non-bug,23,10
23,36,837,non-bug,346,0
2,140,145,non-bug,22,12
4,123,85,non-bug,2,2
1,13841,22,non-bug,11,11
3,359,70,non-bug,1,3
2,13841,8,non-bug,3,4
1,0,2,non-bug,1,1
2,24,10,non-bug,1,1
3,247,548,non-bug,293,0
4,3248,20,non-bug,10,10
26,172,131,non-bug,45,86
1,0,1,non-bug,0,1
1,0,4,non-bug,2,2
1,0,11,non-bug,7,4
9,92,618,non-bug,224,1
1,242,2,non-bug,1,1
2,13791,8,non-bug,4,4
3,404,73,non-bug,2,1
13,23,228,bug,70,7
2,1021,24,non-bug,0,0
